(129500, 252, -160)
(118536, 3892, 3016)
(128764, -284, -716)
(127484, -956, -504)
(128272, -308, -12704)
(128112, -596, -64)
(128928, -40, -36)
(129028, 12860, 25716)
(128696, -636, -1888)
(128896, -428, -1964)
(116196, -1420, 3420)
(128832, 104, 508)
(127084, -1992, -2104)
(127012, -756, 604)
(114644, 876, 844)
(126972, -1948, -2480)
(128524, -328, 112)
(128116, 820, 1528)
(127144, -1884, -2736)
(128988, 1932, 3560)
(116440, -5244, -9272)
(129080, 196, -984)
(113292, -2904, -140)
(129052, 116, -184)
(128892, 196, 380)
(127512, -1532, -1740)
(127084, -448, 532)
(128440, -704, -1456)
(128828, -60, -192)
(128988, -192, -680)
(127136, -1744, -2056)
(129184, -92, -328)
(128860, -228, -188)
(128980, -44, 116)
(128720, -212, -12936)
(128908, 72, 148)
(129432, 560, 580)
(127332, -1756, -1908)
(128944, 28, 280)
(128604, -536, -1860)
(128480, -404, -864)
(129180, 2476, 4572)
(112680, -380, 120)
(129148, 36, -68)
(129520, 584, 160)
(126988, -1888, -2008)
(128944, 1024, 2528)
(128228, -728, -1128)
(128660, -372, -864)
(128860, -332, -520)
(129188, 296, 468)
(128964, -224, -160)
(128556, -884, -1236)
(129616, 1544, 868)
(129224, 1712, 3084)
(128876, 120, 92)
(129448, 572, 556)
(127984, 844, 2200)
(121236, -820, -1052)
(128656, -568, -596)
(127228, -536, 32)
(129328, 96, -4)
(129228, 264, 380)
(129028, -204, -44)
(128320, -364, -64)
(128284, -780, -812)
(129000, 368, -280)
(113020, -5116, -8568)
(121048, 3956, 5280)
(127316, -1472, -1424)
(128620, -320, -388)
(128676, 92, 500)
(115880, -6700, -7220)
(129368, 448, 792)
(128796, 28, 196)
(115680, -1156, 2688)
(128984, 252, 180)
(128280, -544, -648)
(128944, 684, 1748)
(128520, -704, -1108)
(128992, 192, 540)
(122552, 6896, 9112)
(129180, 376, 580)
(128056, -1212, -1960)
(128732, -204, 96)
(127928, -1128, -1064)
(129356, 864, 404)
(128736, -252, -176)
(129088, 724, 1528)
(128464, 384, 1212)
(128492, 460, 1588)
(129216, 260, 352)
(114672, -6148, -8460)
(128036, -936, -716)
(116620, 1948, 4360)
(128908, -396, -776)
(128832, 36, 228)
(128584, -408, -564)
(129444, 1304, 1088)
(129224, 16, -1460)
(117436, 3656, 8328)
(129188, 896, 1668)
(120828, 3004, -1528)
(129204, 204, 340)
(128840, 1700, 3572)
(128972, 1832, 3708)
(114212, -7848, -13932)
(128848, 852, 1792)
(128820, 1580, 3300)
(128804, -236, -156)
(128912, -120, -532)
(128652, -388, -744)
(128468, 1212, 3284)
(128764, -92, -892)
(127252, -1784, -1868)
(128720, -144, 316)
(129520, 216, -528)
(128692, -188, -252)
(129048, 1876, 3540)
(121152, 3312, 6560)
(128576, -232, 88)
(128964, -200, -680)
(129052, 312, 48)
(128956, -56, -236)
(127328, -88, 1108)
(129072, -540, -924)
(128744, 388, -772)
(128872, -312, -160)
(127996, 716, 2500)
(128892, -388, -468)
(118288, -3284, -8712)
(127672, -1220, -2600)
(129004, -576, -1256)
(121100, -84, -280)
(115784, -5004, -4972)
(128820, -92, -316)
(128940, -88, 280)
(128836, -56, -744)
(129048, 284, 148)
(128836, -492, -1464)
(129376, 1028, 1024)
(129352, 516, 704)
(129060, 240, 464)
(129224, 172, 56)
(120988, 8652, 15040)
(129152, 948, -172)
(128684, 344, 772)
(128980, 332, 80)
(129332, 1252, 2124)
(128412, -572, -640)
(128500, -408, -1748)
(111948, -9232, -14732)
(129032, 1652, 3160)
(128592, -444, -404)
(127144, -1632, -1644)
(129496, 304, 464)
(128808, 128, -76)
(128936, 320, -1128)
(128928, 612, 656)
(128792, -188, 112)
(129536, 292, -568)
(129180, 180, -348)
(112836, -8164, -16524)
(129060, 1948, 4072)
(129100, 2284, 2708)
(122060, 6084, 8604)
(127904, -976, -2672)
(115552, -5496, -9452)
(128428, -504, -528)
(127416, -976, -372)
(128896, 648, 1920)
(127392, -1448, -3180)
(126924, -1976, -2256)
(112592, -16308, -16328)
(128612, 716, 1536)
(128856, 24, 408)
(128844, -256, -848)
(129184, 1188, 472)
(128992, -32, -728)
(129312, 1392, 2660)
(128832, 60, -140)
(128712, -392, -436)
(128752, -224, -944)
(127228, -2272, -3028)
(129068, 364, 504)
(128988, 4, -116)
(128248, -1272, -3740)
(120668, -128, -3664)
(118220, 412, 4176)
(128876, -236, -1060)
(115644, -5184, -11136)
(128100, 324, 1684)
(129356, 2160, 2524)
(129232, -160, -368)
(127688, -1580, -2132)
(128140, -32, -280)
(128872, -100, -316)
(128472, 1216, 1780)
(127776, 748, 2432)
(114060, -8044, -8108)
(128720, -412, -1008)
(129368, 380, 588)
(128952, -92, -56)
(128888, 72, -1148)
(129088, 860, 1680)
(129044, 696, 996)
(128980, 76, -1064)
(129216, 532, 976)
(121000, -1372, -9936)
(128832, -460, -520)
(127928, 532, 2092)
(128328, -68, 196)
(129016, 1092, 1800)
(126712, -1824, -3320)
(117616, -4840, -4856)
(129328, 380, 272)
(129004, 1128, 2164)
(129320, 16460, 32868)
(129156, 208, -928)
(128796, -56, -48)
(128628, -200, -400)
(128996, 56, 356)
(128152, 900, 584)
(118892, -1908, -5636)
(128772, 60, -128)
(128576, -452, -728)
(128564, -148, -88)
(129320, 1004, 1080)
(118472, -2356, -7116)
